45861448003056410GH PNWWLA 2810564100007030302299300012SEASONS CAVIAR BLACK CAPELIN  SEA BLK CAP CAVIAR  2.0 OZ    2.00OZ02       1000313102017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   0000006700067015       NN20171209 N00012000313100000000000000000000000000415020171021201712220066494000000000000000000000000000000000000000000000000000000000000000000000000000100005390+51600D2017100720171222000000000000000000000000000000000+00000000000000N    2SF                 1324R00000000000+000001320R00000000000+000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0000703030229930000410000110018000890011900000000000000539  X
45861448003062080GH PNWWLA 2810620800007270010406700012MANISCH EXT WIDE EGG NOODLES  MANISCH XTR WD EGG   12 OZ   12.00OZ02       1000194702017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   00000067000670130301237NN20171209 N00012000194700000000000000000000000000384020171021201712220066494000000000000000000000000000000000000000000000000000000000000000000000000000100003890+58300D2017100720171222000000000000000000000000000000000+00000000000000N    2SF                 1324R00000000000+000001320R00000000000+000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0000727001040670001030001090107001070016500000000000000389  X
45861448003062380GH PNWWLA 2810623800007349012882000006BARTENURA OLIVE OIL EXT VIRGINBAR EXTR VGN OLIVE16.09 OZ   16.09OZ02       1000463202017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   0000006700067008       NN20171209 N00006000463200000000000000000000000000000000000000000000000000000002960201710212017122200731370000000000000000000000000000000000000000000000100014590+47100D2017100720171222000000000000000000000000000000000+00000000000000N    2SF                 1324R00000000000+000001320R00000000000+000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0000734901288200001150000240102000530007700000000000001459  X
45861448003063450GH PNWWLA 2810634500007349015412600012REBECCA R FRUIT SLICES NATURALREB NAT FRT SLICE     6 OZ    6.00OZ02       1000384302017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   0000006700067056       NN20171209 N00012000384300000000000000000000000000000000000000000000000000000003250201710212017122200731370000000000000000000000000000000000000000000000100005990+46500D2017100720171222000000000000000000000000000000000+00000000000000N    2SF                 1324R00000000000+000001320R00000000000+000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0000734901541260000600000410040001100016000000000000000599  X
45861448003063520GH PNWWLA 2810635200008468590031200012778 PRESERVES STRAWBERRY      778 PRESRVS STRAWB   12 OZ   12.00OZ02       1000396002017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   0000006700067008       NN20171209 Y00012000396000000000000000000000000000000000000000000000000000000004880201710212017122200731370000000000000000000000000000000000000000000000100005990+44900D2017100720171222000000000000000000000000000000000+00000000000000N    2G                  1324R00000000000+000001320R00000000000+000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0000846859003120001645000250054000770010500000000000000599  X
45861448003064010GH PNWWLA 2810640100071006912890300012GEFEN HONEY BEAR              GEF HONEY BEAR       12 OZ   12.00OZ02       1000463302017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   0000006700067008       NN20171209 N00012000463300000000000000000000000000000000000000000000000000000003980201710212017122200731370000000000000000000000000000000000000000000000100006650+41900D2017100720171222000000000000000000000000000000000+00000000000000N    2SF                 1324R00100007990+415831320R00100007990+415830000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0007100691289030001020000330068000790010600000000000000665  X
45861448003064500GH PNWWLA 2810645000007349012424200012KEDEM TEA BISCUITS ORANGE     KED TEA BISC ORANG  4.2 OZ    4.20OZ02       1000062302017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   00000067000670070303469NN20171209 N00012000062300000000000000000000000000000000000000000000000000000000490201710212017122200731370000000000000000000000000000000000000000000000100001150+54900 0000000000000000000000000000000000000000000000000+00000000000000N    2SF                 1324R00000000000+000001320R00000000000+000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0000734901242420000350000240080000700007300000000000000115  X
45861448003064580GH PNWWLA 2810645800007349012383200012KEDEM TEA BISCUITS VANILLA    KEDEM BISCUIET VAN  4.2 OZ    4.20OZ02       1000062302017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   00000067000670070303469NN20171209 N00012000062300000000000000000000000000000000000000000000000000000000490201710212017122200731370000000000000000000000000000000000000000000000100000990+47600 0000000000000000000000000000000000000000000000000+00000000000000N    2SF                 1324R00000000000+000001320R00100000990+366160000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0000734901238320000350000240069000800007500000000000000099  X
45861448003064590GH PNWWLA 2810645900007349012384900012KEDEM TEA BISCUITS CHOCOLATE  KEDEM BISCUIT CHOC  4.2 OZ    4.20OZ02       1000062302017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   00000067000670070303469NN20171209 N00012000062300000000000000000000000000000000000000000000000000000000490201710212017122200731370000000000000000000000000000000000000000000000100000990+47600 0000000000000000000000000000000000000000000000000+00000000000000N    2SF                 1324R00100000850+261761320R00000000000+000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0000734901238490000360000160081000770004300000000000000099  X
45861448003064600GH PNWWLA 2810646000007349012350400012KEDEM TEA BISCUITS PLAIN      KEDEM BISCUIET PLN  4.2 OZ    4.20OZ02       1000062302017122300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000N   00000067000670070303469NN20171209 N00012000062300000000000000000000000000000000000000000000000000000000490201710212017122200731370000000000000000000000000000000000000000000000100000990+47600 0000000000000000000000000000000000000000000000000+00000000000000N    2SF                 1324R00100000850+261761320R00100000990+366160000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 000000000 00000000000 00000 0000734901235040000360000290080000740008500000000000000099  X
